No.,Scheme_Name,Net_Asset_Value,Outstanding_Number_of_ Units,Nav_Per_Unit,Sale_Price_per_Unit,Repurchase_Price/Unit,Date_Valued
9918,Liquid Fund,10211701011.07,64205869,159.0462,159.0462,159.0462,17-02-2017
9917,Jikimu Fund,24461887117.88,201037529.7,121.6782,121.6782,119.2446,17-02-2017
9916,Watoto Fund,3258396971.9,11712310.58,278.2027,278.2027,275.4207,17-02-2017
9915,Wekeza Maisha Fund,3632820136.5,11607481.5,312.9723,312.9723,306.7129,17-02-2017
9914,Umoja Fund,193966655226.01,415061897.56,467.3198,467.3198,462.6466,17-02-2017
9913,Liquid Fund,10239154413.94,64309612.44,159.2165,159.2165,159.2165,20-02-2017
9912,Jikimu Fund,24494669716.04,201127932.09,121.7865,121.7865,119.3508,20-02-2017
9911,Watoto Fund,3264554848.1,11726365.08,278.3944,278.3944,275.6105,20-02-2017
9910,Wekeza Maisha Fund,3635700797.86,11607561.37,313.2183,313.2183,306.9539,20-02-2017
9909,Umoja Fund,194108781478.62,415073292.32,467.6494,467.6494,462.9729,20-02-2017
9908,Liquid Fund,10225599589.08,64201491.69,159.2736,159.2736,159.2736,21-02-2017
9907,Jikimu Fund,24520229229.2,200352209.81,122.3856,122.3856,119.9379,21-02-2017
9906,Watoto Fund,3288408823.23,11732207.51,280.289,280.289,277.4861,21-02-2017
9905,Wekeza Maisha Fund,3660623861.31,11607473.05,315.3679,315.3679,309.0605,21-02-2017
9904,Umoja Fund,196759615388.41,415073292.32,474.0413,474.0413,469.3008,21-02-2017
9903,Liquid Fund,10697225343.57,67139304.96,159.3288,159.3288,159.3288,22-02-2017
9902,Jikimu Fund,24528385489.33,200359587.53,122.4218,122.4218,119.9734,22-02-2017
9901,Watoto Fund,3284117324.18,11714224.51,280.3529,280.3529,277.5494,22-02-2017
9900,Wekeza Maisha Fund,3667124038.05,11626658.08,315.4065,315.4065,309.0984,22-02-2017
9899,Umoja Fund,196654374888.63,414750995.64,474.1505,474.1505,469.409,22-02-2017
9898,Liquid Fund,10703530925.11,67154995.78,159.3855,159.3855,159.3855,23-02-2017
9897,Jikimu Fund,24536544777.21,200366886.74,122.4581,122.4581,120.0089,23-02-2017
9896,Watoto Fund,3285389601.64,11715974.06,280.4197,280.4197,277.6155,23-02-2017
9895,Wekeza Maisha Fund,3668190522.1,11627022.69,315.4884,315.4884,309.1786,23-02-2017
9894,Umoja Fund,196725867085.49,414806079.84,474.2598,474.2598,469.5172,23-02-2017
9893,Liquid Fund,10714825002.14,67201945.38,159.4422,159.4422,159.4422,24-02-2017
9892,Jikimu Fund,24674713561.59,200206945.84,123.246,123.246,120.7811,24-02-2017
9891,Watoto Fund,3314147009.84,11713893.77,282.9245,282.9245,280.0952,24-02-2017
9890,Wekeza Maisha Fund,3698705417.31,11625328.65,318.1592,318.1592,311.796,24-02-2017
9889,Umoja Fund,199726270141.65,414462496.86,481.8923,481.8923,477.0733,24-02-2017
9888,Liquid Fund,10760091203.86,67414208.65,159.6116,159.6116,159.6116,27-02-2017
9887,Jikimu Fund,24701738081.42,200250030.4,123.3545,123.3545,120.8874,27-02-2017
9886,Watoto Fund,3317084120.37,11716014.48,283.1239,283.1239,280.2927,27-02-2017
9885,Wekeza Maisha Fund,3701578269.78,11625407.26,318.4042,318.4042,312.0361,27-02-2017
9884,Umoja Fund,199861127054.55,414476574.25,482.2013,482.2013,477.3792,27-02-2017
9883,Liquid Fund,10948536913.04,68570935.88,159.6673,159.6673,159.6673,28-02-2017
9882,Jikimu Fund,24781876751.84,200841111.09,123.3905,123.3905,120.9226,28-02-2017
9881,Watoto Fund,3318217998.79,11717268.34,283.1904,283.1904,280.3585,28-02-2017
9880,Wekeza Maisha Fund,3703084061.31,11627155.6,318.4858,318.4858,312.1161,28-02-2017
9879,Umoja Fund,199910439556.97,414486460.24,482.3087,482.3087,477.4856,28-02-2017
9878,Liquid Fund,10975375421.89,68714985.41,159.7232,159.7232,159.7232,01-03-2017
